case_id,process_type,department,activity,timestamp,resource
WF-1001,Finance Approval,Finance,Submitted,2026-06-10T21:05:00,emp_0026
WF-1001,Finance Approval,Finance,Under Review,2026-06-12T20:05:00,emp_0178
WF-1001,Finance Approval,Finance,Manager Approval,2026-06-13T11:05:00,emp_0067
WF-1001,Finance Approval,Finance,Compliance Check,2026-06-15T07:05:00,emp_0192
WF-1001,Finance Approval,Finance,Rejected,2026-06-17T06:05:00,emp_0078
WF-1002,Legal Review,Legal,Submitted,2026-06-06T18:12:00,emp_0064
WF-1002,Legal Review,Legal,Under Review,2026-06-07T10:12:00,emp_0199
WF-1002,Legal Review,Legal,Manager Approval,2026-06-09T02:12:00,emp_0062
WF-1002,Legal Review,Legal,Approved,2026-06-10T20:12:00,emp_0145
WF-1003,Finance Approval,Finance,Submitted,2026-06-12T19:53:00,emp_0034
WF-1003,Finance Approval,Finance,Under Review,2026-06-13T17:53:00,emp_0170
WF-1003,Finance Approval,Finance,Rejected,2026-06-14T00:53:00,emp_0199
WF-1004,IT Service Request,Finance,Submitted,2026-06-06T18:32:00,emp_0044
WF-1004,IT Service Request,Finance,Under Review,2026-06-08T17:32:00,emp_0042
WF-1004,IT Service Request,Finance,Manager Approval,2026-06-10T12:32:00,emp_0056
WF-1004,IT Service Request,Finance,Approved,2026-06-12T12:32:00,emp_0008
WF-1005,Legal Review,Finance,Submitted,2026-07-03T05:48:00,emp_0023
WF-1005,Legal Review,Finance,Under Review,2026-07-05T00:48:00,emp_0173
WF-1005,Legal Review,Finance,Manager Approval,2026-07-06T01:48:00,emp_0175
WF-1005,Legal Review,Finance,Rejected,2026-07-06T05:48:00,emp_0067
WF-1006,Procurement,Finance,Submitted,2026-06-17T01:25:00,emp_0045
WF-1006,Procurement,Finance,Under Review,2026-06-19T01:25:00,emp_0022
WF-1006,Procurement,Finance,Manager Approval,2026-06-20T20:25:00,emp_0134
WF-1006,Procurement,Finance,Compliance Check,2026-06-21T02:25:00,emp_0050
WF-1006,Procurement,Finance,Rejected,2026-06-21T23:25:00,emp_0022
WF-1007,Legal Review,Finance,Submitted,2026-06-22T05:19:00,emp_0026
WF-1007,Legal Review,Finance,Under Review,2026-06-22T11:19:00,emp_0061
WF-1007,Legal Review,Finance,Manager Approval,2026-06-23T01:19:00,emp_0192
